Illness 1,Illness 2,Illness 3,Illness 4,Illness 5,Need premium flag,combined_illnesses
Depression,Epilepsy,Moderate Traumatic Brain Injury,,,Yes,Depression Epilepsy Moderate Traumatic Brain Injury  
Acute Leukemia,,,,,Yes,Acute Leukemia    
Crohn's disease,Gastritis,,,,No,Crohn's disease Gastritis   
Scleroderma,Addison's Disease,,,,Yes,Scleroderma Addison's Disease   
Stroke,Alzheimer's disease,Parkinson's disease,Heart disease,Multiple sclerosis,Yes,Stroke Alzheimer's disease Parkinson's disease Heart disease Multiple sclerosis
Mild Depression,Hypothyroidism,,,,No,Mild Depression Hypothyroidism   
Severe Burns,Type 1 Diabetes,,,,Yes,Severe Burns Type 1 Diabetes   
Inflammatory Bowel Disease,Psoriatic Arthritis,Chronic Liver Disease,,,Yes,Inflammatory Bowel Disease Psoriatic Arthritis Chronic Liver Disease  
Ulcerative colitis,Moderate COPD,Fibromyalgia,Peripheral Artery Disease,,Yes,Ulcerative colitis Moderate COPD Fibromyalgia Peripheral Artery Disease 
Mild Allergies,,,,,No,Mild Allergies    
Rheumatoid Arthritis,Osteoporosis,,,,Yes,Rheumatoid Arthritis Osteoporosis   
Cancer,,,,,Yes,Cancer    
Anxiety disorders,Sleep apnea,GERD,Rosacea,,Yes,Anxiety disorders Sleep apnea GERD Rosacea 
Ruptured Brain Aneurysm,Severe Sepsis,,,,Yes,Ruptured Brain Aneurysm Severe Sepsis   
Type 2 Diabetes,Asthma,Depression,Epilepsy,,Yes,Type 2 Diabetes Asthma Depression Epilepsy 
Varicose Veins,Benign Prostatic Hyperplasia,Mild Hypertension,,,No,Varicose Veins Benign Prostatic Hyperplasia Mild Hypertension  
Chronic kidney disease,Schizophrenia,,,,Yes,Chronic kidney disease Schizophrenia   
Graves' Disease,Addison's Disease,Scleroderma,Systemic Lupus Erythematosus,,Yes,Graves' Disease Addison's Disease Scleroderma Systemic Lupus Erythematosus 
Heart disease,,,,,Yes,Heart disease    
Multiple sclerosis,,,,,Yes,Multiple sclerosis    
Moderate COPD,Psoriatic Arthritis,,,,Yes,Moderate COPD Psoriatic Arthritis   
Mild Hypertension,Eczema,,,,No,Mild Hypertension Eczema   
Chronic Liver Disease,Inflammatory Bowel Disease,Fibromyalgia,,,Yes,Chronic Liver Disease Inflammatory Bowel Disease Fibromyalgia  
Acute Leukemia,Osteoporosis,,,,Yes,Acute Leukemia Osteoporosis   
Schizophrenia,Epilepsy,Sleep apnea,,,Yes,Schizophrenia Epilepsy Sleep apnea  
Gastritis,Rosacea,Mild Allergies,Hypothyroidism,,No,Gastritis Rosacea Mild Allergies Hypothyroidism 
Stroke,Type 2 Diabetes,Rheumatoid Arthritis,Anxiety disorders,GERD,Yes,Stroke Type 2 Diabetes Rheumatoid Arthritis Anxiety disorders GERD
Systemic Lupus Erythematosus,Graves' Disease,,,,Yes,Systemic Lupus Erythematosus Graves' Disease   
Severe Burns,,,,,Yes,Severe Burns    
Asthma,Depression,Peripheral Artery Disease,,,Yes,Asthma Depression Peripheral Artery Disease  
Addison's Disease,Moderate Traumatic Brain Injury,Crohn's disease,,,Yes,Addison's Disease Moderate Traumatic Brain Injury Crohn's disease  
Heart disease,,,,,Yes,Heart disease    
Ulcerative colitis,Varicose Veins,,,,No,Ulcerative colitis Varicose Veins   
Scleroderma,Type 1 Diabetes,,,,Yes,Scleroderma Type 1 Diabetes   
Cancer,Alzheimer's disease,Parkinson's disease,Chronic kidney disease,Ruptured Brain Aneurysm,Yes,Cancer Alzheimer's disease Parkinson's disease Chronic kidney disease Ruptured Brain Aneurysm
Benign Prostatic Hyperplasia,,,,,No,Benign Prostatic Hyperplasia    
Advanced Motor Neuron Disease,Severe Sepsis,,,,Yes,Advanced Motor Neuron Disease Severe Sepsis   
Inflammatory Bowel Disease,Psoriatic Arthritis,Osteoporosis,,,Yes,Inflammatory Bowel Disease Psoriatic Arthritis Osteoporosis  
Moderate COPD,Fibromyalgia,Sleep apnea,Anxiety disorders,,Yes,Moderate COPD Fibromyalgia Sleep apnea Anxiety disorders 
GERD,,,,,No,GERD    
Rheumatoid Arthritis,Graves' Disease,,,,Yes,Rheumatoid Arthritis Graves' Disease   
Acute Leukemia,,,,,Yes,Acute Leukemia    
Type 2 Diabetes,Asthma,Mild Hypertension,Eczema,,Yes,Type 2 Diabetes Asthma Mild Hypertension Eczema 
Stroke,Chronic Liver Disease,,,,Yes,Stroke Chronic Liver Disease   
Depression,Epilepsy,Peripheral Artery Disease,,,Yes,Depression Epilepsy Peripheral Artery Disease  
Mild Allergies,Rosacea,Hypothyroidism,,,No,Mild Allergies Rosacea Hypothyroidism  
Multiple sclerosis,Schizophrenia,,,,Yes,Multiple sclerosis Schizophrenia   
Systemic Lupus Erythematosus,Addison's Disease,Scleroderma,Crohn's disease,,Yes,Systemic Lupus Erythematosus Addison's Disease Scleroderma Crohn's disease 
Severe Burns,Heart disease,,,,Yes,Severe Burns Heart disease   
Parkinson's disease,,,,,Yes,Parkinson's disease    
Systemic Lupus Erythematosus,Fibromyalgia,,,,Yes,Systemic Lupus Erythematosus Fibromyalgia   
Mild Depression,Varicose Veins,Gastritis,,,No,Mild Depression Varicose Veins Gastritis  
Type 2 Diabetes,Asthma,Osteoporosis,Anxiety disorders,,Yes,Type 2 Diabetes Asthma Osteoporosis Anxiety disorders 
Severe Sepsis,Rheumatoid Arthritis,,,,Yes,Severe Sepsis Rheumatoid Arthritis   
Moderate COPD,Psoriatic Arthritis,Sleep apnea,,,Yes,Moderate COPD Psoriatic Arthritis Sleep apnea  
Hypothyroidism,Benign Prostatic Hyperplasia,Rosacea,,,No,Hypothyroidism Benign Prostatic Hyperplasia Rosacea  
Cancer,Chronic Liver Disease,Inflammatory Bowel Disease,Epilepsy,Eczema,Yes,Cancer Chronic Liver Disease Inflammatory Bowel Disease Epilepsy Eczema
Schizophrenia,Addison's Disease,,,,Yes,Schizophrenia Addison's Disease   
Ruptured Brain Aneurysm,,,,,Yes,Ruptured Brain Aneurysm    
Depression,Peripheral Artery Disease,Crohn's disease,,,Yes,Depression Peripheral Artery Disease Crohn's disease  
Graves' Disease,Moderate Traumatic Brain Injury,Ulcerative colitis,,,Yes,Graves' Disease Moderate Traumatic Brain Injury Ulcerative colitis  
Heart disease,,,,,Yes,Heart disease    
GERD,Mild Allergies,,,,No,GERD Mild Allergies   
Scleroderma,Type 1 Diabetes,,,,Yes,Scleroderma Type 1 Diabetes   
Stroke,Alzheimer's disease,Multiple sclerosis,Chronic kidney disease,Acute Leukemia,Yes,Stroke Alzheimer's disease Multiple sclerosis Chronic kidney disease Acute Leukemia
Mild Hypertension,,,,,No,Mild Hypertension    
Advanced Motor Neuron Disease,Osteoporosis,,,,Yes,Advanced Motor Neuron Disease Osteoporosis   
Inflammatory Bowel Disease,Psoriatic Arthritis,Fibromyalgia,,,Yes,Inflammatory Bowel Disease Psoriatic Arthritis Fibromyalgia  
Moderate COPD,Anxiety disorders,Sleep apnea,Type 2 Diabetes,,Yes,Moderate COPD Anxiety disorders Sleep apnea Type 2 Diabetes 
Rosacea,,,,,No,Rosacea    
Rheumatoid Arthritis,Asthma,,,,Yes,Rheumatoid Arthritis Asthma   
Severe Burns,,,,,Yes,Severe Burns    
Peripheral Artery Disease,Epilepsy,Hypothyroidism,Gastritis,,Yes,Peripheral Artery Disease Epilepsy Hypothyroidism Gastritis 
Chronic Liver Disease,Schizophrenia,,,,Yes,Chronic Liver Disease Schizophrenia   
Depression,Graves' Disease,Addison's Disease,,,Yes,Depression Graves' Disease Addison's Disease  
Varicose Veins,Benign Prostatic Hyperplasia,Mild Depression,,,No,Varicose Veins Benign Prostatic Hyperplasia Mild Depression  
Parkinson's disease,Systemic Lupus Erythematosus,,,,Yes,Parkinson's disease Systemic Lupus Erythematosus   
Crohn's disease,Ulcerative colitis,Scleroderma,Moderate Traumatic Brain Injury,,Yes,Crohn's disease Ulcerative colitis Scleroderma Moderate Traumatic Brain Injury 
Cancer,Severe Sepsis,,,,Yes,Cancer Severe Sepsis   
Chronic kidney disease,,,,,Yes,Chronic kidney disease    
Rheumatoid Arthritis,Moderate COPD,,,,Yes,Rheumatoid Arthritis Moderate COPD   
Eczema,Mild Allergies,,,,No,Eczema Mild Allergies   
Type 2 Diabetes,Asthma,Fibromyalgia,Sleep apnea,,Yes,Type 2 Diabetes Asthma Fibromyalgia Sleep apnea 
Acute Leukemia,Peripheral Artery Disease,,,,Yes,Acute Leukemia Peripheral Artery Disease   
Schizophrenia,Inflammatory Bowel Disease,Psoriatic Arthritis,,,Yes,Schizophrenia Inflammatory Bowel Disease Psoriatic Arthritis  
GERD,Rosacea,Varicose Veins,,,No,GERD Rosacea Varicose Veins  
Stroke,Alzheimer's disease,Osteoporosis,Anxiety disorders,Hypothyroidism,Yes,Stroke Alzheimer's disease Osteoporosis Anxiety disorders Hypothyroidism
Graves' Disease,Addison's Disease,,,,Yes,Graves' Disease Addison's Disease   
Severe Burns,,,,,Yes,Severe Burns    
Depression,Epilepsy,Systemic Lupus Erythematosus,,,Yes,Depression Epilepsy Systemic Lupus Erythematosus  
Moderate Traumatic Brain Injury,Crohn's disease,Ulcerative colitis,,,Yes,Moderate Traumatic Brain Injury Crohn's disease Ulcerative colitis  
Multiple sclerosis,,,,,Yes,Multiple sclerosis    
Gastritis,Benign Prostatic Hyperplasia,,,,No,Gastritis Benign Prostatic Hyperplasia   
Scleroderma,Chronic Liver Disease,,,,Yes,Scleroderma Chronic Liver Disease   
Cancer,Heart disease,Parkinson's disease,Ruptured Brain Aneurysm,Severe Sepsis,Yes,Cancer Heart disease Parkinson's disease Ruptured Brain Aneurysm Severe Sepsis
Mild Hypertension,,,,,No,Mild Hypertension    
Advanced Motor Neuron Disease,Type 1 Diabetes,,,,Yes,Advanced Motor Neuron Disease Type 1 Diabetes   
Psoriatic Arthritis,Fibromyalgia,Osteoporosis,,,Yes,Psoriatic Arthritis Fibromyalgia Osteoporosis  
Moderate COPD,Anxiety disorders,Asthma,Depression,,Yes,Moderate COPD Anxiety disorders Asthma Depression 
Mild Depression,,,,,No,Mild Depression    
Rheumatoid Arthritis,Inflammatory Bowel Disease,,,,Yes,Rheumatoid Arthritis Inflammatory Bowel Disease   
Chronic kidney disease,,,,,Yes,Chronic kidney disease    
Peripheral Artery Disease,Sleep apnea,Hypothyroidism,Eczema,,Yes,Peripheral Artery Disease Sleep apnea Hypothyroidism Eczema 
Stroke,Schizophrenia,,,,Yes,Stroke Schizophrenia   
Type 2 Diabetes,Graves' Disease,Addison's Disease,,,Yes,Type 2 Diabetes Graves' Disease Addison's Disease  
Rosacea,Varicose Veins,GERD,,,No,Rosacea Varicose Veins GERD  
Acute Leukemia,Systemic Lupus Erythematosus,,,,Yes,Acute Leukemia Systemic Lupus Erythematosus   
Crohn's disease,Ulcerative colitis,Scleroderma,Moderate Traumatic Brain Injury,,Yes,Crohn's disease Ulcerative colitis Scleroderma Moderate Traumatic Brain Injury 
Heart disease,Severe Burns,,,,Yes,Heart disease Severe Burns   
